order,seasonal_order,AIC,BIC,converged
"(6, 0, 0)","(1, 1, 1, 24)",32160.998670739602,32220.72333089935,True
"(0, 0, 6)","(1, 1, 1, 24)",32161.754345025038,32221.475556314253,True
"(2, 0, 5)","(1, 1, 1, 24)",32164.11509742248,32229.8122235982,False
"(1, 0, 4)","(1, 1, 1, 24)",32174.45895480849,32228.214251865586,True
"(2, 0, 4)","(1, 1, 1, 24)",32174.532176321532,32234.260284162745,False
"(5, 0, 0)","(1, 1, 1, 24)",32175.285645171476,32229.04094222857,True
"(0, 0, 5)","(1, 1, 1, 24)",32181.3605841267,32235.11277827047,True
"(4, 0, 0)","(1, 1, 1, 24)",32187.902011959333,32235.687255426885,True
"(1, 0, 3)","(1, 1, 1, 24)",32187.907287151,32235.69253061855,True
"(2, 0, 3)","(1, 1, 1, 24)",32188.647414374827,32242.405813275825,False
"(3, 0, 1)","(1, 1, 1, 24)",32196.621815708822,32244.40981542102,False
"(3, 0, 0)","(1, 1, 1, 24)",32198.565494009796,32240.379993757968,True
"(1, 0, 2)","(1, 1, 1, 24)",32200.568215974585,32242.382715722757,True
"(2, 0, 2)","(1, 1, 1, 24)",32200.65339331532,32248.441393027515,False
"(2, 0, 0)","(1, 1, 1, 24)",32209.894021015312,32245.73708727098,True
"(5, 0, 1)","(1, 1, 1, 24)",32211.25275859115,32270.98086643236,False
"(2, 0, 1)","(1, 1, 1, 24)",32211.410694281178,32253.22760491279,True
"(0, 0, 4)","(1, 1, 1, 24)",32216.417286222873,32264.199772495846,True
"(0, 1, 5)","(1, 1, 1, 24)",32216.59668579604,32270.345775956335,False
"(4, 0, 5)","(1, 1, 1, 24)",32222.222108561255,32299.864166768923,False
"(1, 0, 1)","(1, 1, 1, 24)",32231.587223659786,32267.430289915454,True
"(0, 1, 4)","(1, 1, 1, 24)",32247.340785600478,32295.120513728274,True
"(0, 0, 3)","(1, 1, 1, 24)",32259.977597107387,32301.789685141495,True
"(1, 1, 5)","(1, 1, 1, 24)",32302.12794536976,32361.849156658976,False
"(3, 0, 5)","(1, 1, 1, 24)",32303.364461667163,32375.034053858857,False
"(0, 1, 3)","(1, 1, 1, 24)",32314.060292701768,32355.86996819062,True
"(4, 0, 4)","(1, 1, 1, 24)",32318.41888108175,32390.092610491207,False
"(5, 0, 5)","(1, 1, 1, 24)",32338.395967061904,32422.01049128555,False
"(0, 0, 2)","(1, 1, 1, 24)",32358.81059910237,32394.651598886518,True
"(3, 0, 4)","(1, 1, 1, 24)",32362.789956080145,32428.49087470548,False
"(4, 0, 6)","(1, 1, 1, 24)",32369.37916939443,32452.98886519933,False
"(1, 0, 6)","(1, 1, 1, 24)",32370.158255186598,32435.851587604735,False
"(3, 0, 6)","(1, 1, 1, 24)",32377.85728169538,32455.49485637136,False
"(1, 1, 1)","(1, 1, 1, 24)",32380.09926832741,32415.940268111557,False
"(1, 0, 0)","(1, 1, 1, 24)",32381.976123598855,32411.847066945284,True
"(6, 1, 0)","(1, 1, 1, 24)",32388.329511324286,32448.0507226135,True
"(1, 0, 5)","(1, 1, 1, 24)",32388.845549845733,32448.57021000548,False
"(2, 0, 6)","(1, 1, 1, 24)",32399.59948546596,32471.264939013017,False
"(6, 0, 4)","(1, 1, 1, 24)",32411.734767575777,32495.349291799423,False
"(5, 1, 0)","(1, 1, 1, 24)",32419.968316819915,32473.720510963685,True
"(5, 0, 3)","(1, 1, 1, 24)",32439.251557602212,32510.92528701167,False
"(0, 1, 2)","(1, 1, 1, 24)",32440.328696936238,32476.167629536903,True
"(6, 0, 6)","(1, 1, 1, 24)",32441.607960265887,32537.16189832863,False
"(5, 0, 4)","(1, 1, 1, 24)",32446.28658534333,32523.933125536907,False
"(4, 0, 3)","(1, 1, 1, 24)",32448.915117599136,32514.61982736702,True
"(1, 1, 2)","(1, 1, 1, 24)",32455.82939636812,32497.64148440223,False
"(4, 1, 0)","(1, 1, 1, 24)",32455.928420573153,32503.710906846125,True
"(0, 1, 1)","(1, 1, 1, 24)",32464.887323664625,32494.75482348475,True
"(5, 0, 6)","(1, 1, 1, 24)",32499.919207209554,32589.501024143377,False
"(3, 1, 0)","(1, 1, 1, 24)",32510.44560143562,32552.257689469727,True
"(3, 0, 3)","(1, 1, 1, 24)",32528.61890814858,32588.35046248302,True
"(2, 1, 0)","(1, 1, 1, 24)",32558.28181193684,32594.122811720987,True
"(6, 0, 5)","(1, 1, 1, 24)",32561.735831380174,32651.322821619793,False
"(1, 1, 4)","(1, 1, 1, 24)",32568.84601310818,32622.59820725195,False
"(3, 0, 2)","(1, 1, 1, 24)",32569.220882759502,32622.982382435723,False
"(1, 1, 0)","(1, 1, 1, 24)",32637.052657828393,32666.921879708116,True
"(0, 1, 6)","(1, 1, 1, 24)",32642.3528611715,32702.070622400308,False
"(0, 0, 1)","(1, 1, 1, 24)",32659.672314938813,32689.541536818535,True
"(5, 1, 6)","(1, 1, 1, 24)",32670.536227680688,32760.1128695239,False
"(3, 1, 6)","(1, 1, 1, 24)",32671.912240347432,32749.54532994488,False
"(2, 1, 6)","(1, 1, 1, 24)",32674.71723311187,32746.37854658644,False
"(6, 1, 6)","(1, 1, 1, 24)",32676.711740778588,32772.26015874468,False
"(1, 1, 6)","(1, 1, 1, 24)",32677.557371312272,32743.246908663958,False
"(4, 1, 6)","(1, 1, 1, 24)",32678.49769349165,32762.102559211977,True
"(2, 1, 5)","(1, 1, 1, 24)",32680.880492713048,32746.573825131185,False
"(4, 1, 5)","(1, 1, 1, 24)",32686.68960837379,32764.32718304977,False
"(3, 1, 5)","(1, 1, 1, 24)",32688.39462948578,32760.06008303284,False
"(6, 1, 1)","(1, 1, 1, 24)",32689.935033510104,32755.62836592824,False
"(5, 1, 5)","(1, 1, 1, 24)",32694.83136063266,32778.441056437565,False
"(6, 1, 5)","(1, 1, 1, 24)",32697.636450637947,32787.21826757177,False
"(2, 1, 4)","(1, 1, 1, 24)",32711.989406334375,32771.71406649412,False
"(5, 1, 1)","(1, 1, 1, 24)",32713.92997536435,32773.65463552409,False
"(6, 1, 2)","(1, 1, 1, 24)",32721.405824530913,32793.07127807797,False
"(3, 1, 4)","(1, 1, 1, 24)",32722.03057111853,32787.72769729425,False
"(5, 1, 4)","(1, 1, 1, 24)",32724.534262986486,32802.17632119416,False
"(3, 1, 3)","(1, 1, 1, 24)",32725.80059268311,32785.52870052432,False
"(5, 1, 3)","(1, 1, 1, 24)",32730.36028840834,32802.029880600036,False
"(4, 1, 4)","(1, 1, 1, 24)",32733.963196315504,32805.6327885072,False
"(5, 1, 2)","(1, 1, 1, 24)",32736.3734799025,32802.07060607822,False
"(1, 1, 3)","(1, 1, 1, 24)",32740.34710839777,32788.12959467074,False
"(2, 1, 3)","(1, 1, 1, 24)",32742.037966460943,32795.79326351803,False
"(4, 1, 3)","(1, 1, 1, 24)",32746.314488879332,32812.01540750467,False
"(4, 1, 1)","(1, 1, 1, 24)",32749.180527668734,32802.93582472583,False
"(4, 1, 2)","(1, 1, 1, 24)",32756.33929003913,32816.067397880346,False
"(2, 1, 2)","(1, 1, 1, 24)",32757.016478199814,32804.80172166737,False
